date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:54	980/980	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263243daf-3d4%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/apple.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/apple.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:55	164296/164296	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:54%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/apple-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/apple-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:56	166513/166513	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:55%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/samsung-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/samsung-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:57	128677/128677	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:56%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/sony-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/sony-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:57	118589/118589	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:56%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/google-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/google-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:58	138024/138024	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:57%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/xiaomi-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/xiaomi-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:59	138029/138029	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:58%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/honor-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/honor-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:59	114809/114809	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:59%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/cat-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/cat-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:00	112166/112166	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:59%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/doro-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/doro-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:01	129558/129558	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:00%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/emporia-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/emporia-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:01	122557/122557	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:01%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/nokia-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/nokia-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:02	121155/121155	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:02%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/oneplus-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/oneplus-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:03	134258/134258	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:02%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/brand/oppo-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/brand/oppo-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:03	1616/1616	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-650%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/network.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/network.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:05	170006/170006	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:04%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/network/three-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/network/three-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:51:05	169567/169567	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:51:05%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/network/vodafone-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/network/vodafone-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
